result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
143,5,11.0,42,A. Rins,Team SUZUKI ECSTAR,+7.044,Race,MotoGP,INA,2022,1
144,6,10.0,36,J. Mir,Team SUZUKI ECSTAR,+7.832,Race,MotoGP,INA,2022,1
145,7,9.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+21.115,Race,MotoGP,INA,2022,1
146,8,8.0,33,B. Binder,Red Bull KTM Factory Racing,+32.413,Race,MotoGP,INA,2022,1
147,9,7.0,41,A. Espargaro,Aprilia Racing,+32.586,Race,MotoGP,INA,2022,1
148,10,6.0,40,D. Binder,WithU Yamaha RNF MotoGP Team,+32.901,Race,MotoGP,INA,2022,1
149,11,5.0,23,E. Bastianini,Gresini Racing MotoGP,+33.116,Race,MotoGP,INA,2022,1
150,12,4.0,44,P. Espargaro,Repsol Honda Team,+33.599,Race,MotoGP,INA,2022,1
151,13,3.0,73,A. Marquez,LCR Honda CASTROL,+33.735,Race,MotoGP,INA,2022,1
152,14,2.0,10,L. Marini,Mooney VR46 Racing Team,+34.991,Race,MotoGP,INA,2022,1
153,15,1.0,63,F. Bagnaia,Ducati Lenovo Team,+35.763,Race,MotoGP,INA,2022,1
154,16,0.0,12,M. Viñales,Aprilia Racing,+37.397,Race,MotoGP,INA,2022,1
155,17,0.0,25,R. Fernandez,Tech3 KTM Factory Racing,+41.975,Race,MotoGP,INA,2022,1
156,18,0.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+47.915,Race,MotoGP,INA,2022,1
157,19,0.0,30,T. Nakagami,LCR Honda IDEMITSU,+49.471,Race,MotoGP,INA,2022,1
158,20,0.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+49.473,Race,MotoGP,INA,2022,1
159,21,0.0,87,R. Gardner,Tech3 KTM Factory Racing,+55.964,Race,MotoGP,INA,2022,1
160,DNF,0.0,89,J. Martin,Prima Pramac Racing,7 laps,Race,MotoGP,INA,2022,1
161,DNF,0.0,4,A. Dovizioso,WithU Yamaha RNF MotoGP Team,6 laps,Race,MotoGP,INA,2022,1
162,1,25.0,13,C. Vietti,Mooney VR46 Racing Team,39:44.098,Race,Moto2,ARG,2022,2
163,2,20.0,35,S. Chantra,IDEMITSU Honda Team Asia,+1.538,Race,Moto2,ARG,2022,2
164,3,16.0,79,A. Ogura,IDEMITSU Honda Team Asia,+5.703,Race,Moto2,ARG,2022,2
165,4,13.0,40,A. Canet,Flexbox HP40,+5.880,Race,Moto2,ARG,2022,2
166,5,11.0,96,J. Dixon,Inde GASGAS Aspar Team,+6.584,Race,Moto2,ARG,2022,2
167,6,10.0,14,T. Arbolino,Elf Marc VDS Racing Team,+7.538,Race,Moto2,ARG,2022,2
168,7,9.0,51,P. Acosta,Red Bull KTM Ajo,+12.177,Race,Moto2,ARG,2022,2
169,8,8.0,75,A. Arenas,Inde GASGAS Aspar Team,+12.418,Race,Moto2,ARG,2022,2
170,9,7.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+13.656,Race,Moto2,ARG,2022,2
171,10,6.0,22,S. Lowes,Elf Marc VDS Racing Team,+14.254,Race,Moto2,ARG,2022,2
172,11,5.0,6,C. Beaubier,American Racing,+20.077,Race,Moto2,ARG,2022,2
173,12,4.0,23,M. Schrotter,Liqui Moly Intact GP,+25.736,Race,Moto2,ARG,2022,2
174,13,3.0,16,J. Roberts,Italtrans Racing Team,+28.317,Race,Moto2,ARG,2022,2
175,14,2.0,18,M. Gonzalez,Yamaha VR46 Master Camp Team,+29.784,Race,Moto2,ARG,2022,2
176,15,1.0,42,M. Ramirez,MV Agusta Forward Racing,+30.270,Race,Moto2,ARG,2022,2
177,16,0.0,52,J. Alcoba,Liqui Moly Intact GP,+37.884,Race,Moto2,ARG,2022,2
178,17,0.0,24,S. Corsi,MV Agusta Forward Racing,+37.956,Race,Moto2,ARG,2022,2
179,18,0.0,5,R. Fenati,MB Conveyors Speed Up,+38.325,Race,Moto2,ARG,2022,2
180,19,0.0,81,K. Kubo,Yamaha VR46 Master Camp Team,+64.858,Race,Moto2,ARG,2022,2
